species_tax_id,superkingdom,phylum,class,order,family,genus,species,motility,metabolism,cell_shape,substrate,pathways
46125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,defectiva,yes,facultative anaerobic,NA,"sucrose, trehalose",alpha_galactosidase
155978,Bacteria,Cyanobacteria,NA,Synechococcales,Acaryochloridaceae,Acaryochloris,marina,yes,NA,NA,NA,NA
435,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,aceti,NA,obligate aerobic,NA,"butanol, ethanol, glucose, glycerol, mannitol, mannose, xylose","catalase, hydrogen_sulfide_synthesis"
438,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,pasteurianus,NA,obligate aerobic,NA,"alanine, butanol, ethanol, glucose, glycerol, proline",catalase
33952,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Woodii,no,obligate anaerobic,NA,"butanol, ethanol, formate, fructose, glucose, glycerol, lactose, pyruvate, 2_3_butanediol",acetoin
33952,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,woodii,no,obligate anaerobic,NA,"formate, glucose, lactate, sugars_generic",NA
28187,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,arabaticum,no,obligate anaerobic,NA,"asparagine, aspartate, formate, glutamate, histidine, lactate, pyruvate, yeast_extract",NA
61635,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,brassicae,yes,facultative anaerobic,NA,glucose,NA
2148,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,laidlawii,yes,facultative anaerobic,NA,glucose,NA
38986,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,palmae,yes,facultative anaerobic,NA,NA,NA
32002,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,denitrificans,no,facultative anaerobic,NA,"acetate, adipate, alanine, aspartate, caprate, citrate, gluconate, glutamate, glycerol, glycine, histidine, lactate, leucine, malate, malonate, ornithine, phenylacetate, phenylalanine, proline, propionate, pyruvate, serine, succinate, threonine, tryptophan, valerate","catalase, oxidase, esculin_aesculin_hydrolysis"
85698,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,xylosoxidans,no,facultative anaerobic,NA,"acetate, adipate, alanine, arabinose, aspartate, caprate, citrate, fructose, gluconate, glucose, glutamate, glycerol, glycine, histidine, lactate, leucine, malate, mannose, ornithine, phenylacetate, phenylalanine, proline, propionate, pyruvate, salicin, succinate, threonine, tryptophan, valerate, xylose","catalase, oxidase, gelatinase"
905,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,fermentans,yes,obligate anaerobic,NA,"arginine, citrate, glutamate, histidine, phenylalanine, pyruvate, serine, tryptophan","hydrogen_sulfide_synthesis, ammonia_synthesis"
187327,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,yes,obligate anaerobic,NA,glutamate,indole_synthesis
53635,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,ferrooxidans,no,facultative anaerobic,NA,yeast_extract,NA
524,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,cryptum,no,obligate aerobic,NA,"arabinose, arabitol, arginine, asparagine, citrate, ethanol, fructose, galactose, glucose, glutamate, glycerol, lactose, malate, maltose, mannitol, raffinose, ribose, sorbitol, sucrose, xylose",catalase
62140,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,multivorum,no,obligate aerobic,NA,"adonitol, alanine, arabinose, arabitol, arginine, asparagine, aspartate, butanol, citrate, ethanol, fructose, fucose, galactose, galacturonate, gluconate, glucose, glutamate, glycerol, histidine, leucine, malate, mannitol, ornithine, phenylalanine, proline, putrescine, raffinose, ribose, sorbitol, starch, succinate, sucrose, xylose","catalase, urease, hydrogen_sulfide_synthesis"
33059,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,caldus,no,obligate aerobic,NA,NA,NA
1232575,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferridurans,NA,facultative anaerobic,NA,NA,NA
160808,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrivorans,no,facultative anaerobic,NA,NA,NA
920,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,ferrooxidans,no,obligate aerobic,NA,NA,NA
33075,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,capsulatum,no,obligate aerobic,NA,"arabinose, cellobiose, galactose, glucose, lactose, maltose, mannose, starch, trehalose, xylose, yeast_extract, sugars_generic","catalase, beta_galactosidase, esculin_aesculin_hydrolysis"
28049,Bacteria,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,cellulolyticus,yes,obligate aerobic,NA,"arabinose, cellobiose, fructose, galactose, glucose, glycerol, maltose, mannitol, mannose, raffinose, sorbitol, starch, sucrose, trehalose, xylose",catalase
80867,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,avenae,no,obligate aerobic,NA,"acetate, adipate, arabinose, arabitol, caprate, citrate, dextrin, fucose, galactose, gluconate, glucose, glycerol, histidine, lactate, mannitol, ornithine, propionate, pyruvate, ribose, sorbitol, succinate, threonine, tryptophan, xylose","oxidase, urease"
80869,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,citrulli,no,obligate aerobic,NA,"acetate, adipate, arabinose, citrate, ethanol, fucose, galactose, glucose, maltose, ornithine, propionate, pyruvate, ribose, serine, succinate, tryptophan, xylose, 2_ketogluconate, 2_3_butanediol","oxidase, urease"
47920,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,delafieldii,no,obligate aerobic,bacillus,"acetate, adipate, alanine, arabinose, arabitol, aspartate, citrate, fructose, galactose, gelatin, gluconate, glucose, glycerol, histidine, lactate, leucine, mannitol, mannose, ornithine, phenylalanine, propionate, pyruvate, ribose, serine, sorbitol, suberate, succinate, threonine, Tween_80, valerate, 2_ketogluconate, 3_hydroxybutyrate","catalase, oxidase, urease"
721785,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,ebreus,no,facultative anaerobic,NA,NA,NA
80878,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,temperans,no,obligate aerobic,bacillus,"acetate, adipate, alanine, arabitol, aspartate, gluconate, glucose, glutamate, glycerol, histidine, lactate, leucine, mannitol, ornithine, phenylalanine, proline, propionate, pyruvate, serine, sorbitol, suberate, succinate, threonine, valerate, 2_ketogluconate, 3_hydroxybutyrate","catalase, oxidase, urease"
470,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,baumannii,no,obligate aerobic,NA,"arabinose, arginine, asparagine, aspartate, citrate, ethanol, glucose, histidine, lactose, leucine, malate, malonate, phenylacetate, phenylalanine, ribose, 2_3_butanediol, 4_hydroxybenzoate",catalase
106648,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,bereziniae,yes,obligate aerobic,coccus,"acetate, adipate, alanine, aspartate, citrate, ethanol, glucose, glutamate, histidine, lactate, malate, 2_3_butanediol, 4_hydroxybenzoate",catalase
471,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,calcoaceticus,no,obligate aerobic,NA,"alanine, arabinose, arginine, asparagine, aspartate, citrate, glucose, histidine, lactate, malonate, ornithine, phenylacetate, phenylalanine, ribose, tryptophan, 2_3_butanediol, 4_hydroxybenzoate",catalase
29430,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,haemolyticus,no,obligate aerobic,NA,"arginine, citrate, ethanol, glucose, histidine, leucine, malate, 4_hydroxybenzoate","catalase, gelatinase"
40214,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,johnsonii,no,obligate aerobic,coccus,"arginine, aspartate, citrate, ethanol, lactate",catalase
40215,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,junii,no,obligate aerobic,NA,"arginine, aspartate, citrate, ethanol, histidine, lactate, leucine, malate",catalase
28090,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,lwoffii,no,obligate aerobic,NA,"ethanol, lactate, malate, phenylacetate",catalase
106654,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,nosocomialis,yes,obligate aerobic,coccus,"acetate, adipate, alanine, arabinose, arginine, aspartate, citrate, ethanol, glucose, glutamate, histidine, lactate, leucine, malate, malonate, ornithine, phenethylamine, phenylacetate, putrescine, ribose, 2_3_butanediol, 4_hydroxybenzoate",catalase
1148157,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,oleivorans,no,obligate aerobic,coccus,"cellobiose, citrate, glucose, histidine, lactate, malate, malonate, mannose, succinate","oxidase, urease"
48296,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,pittii,yes,obligate aerobic,coccus,"acetate, adipate, alanine, arabinose, arginine, aspartate, citrate, ethanol, glucose, glutamate, histidine, lactate, malate, malonate, ornithine, phenethylamine, phenylacetate, putrescine, 2_3_butanediol, 4_hydroxybenzoate",catalase
40216,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,radioresistens,yes,obligate aerobic,NA,"acetate, alanine, butanol, ethanol, glutamate, lactate, leucine, malate, malonate, proline, succinate",catalase
108981,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,schindleri,no,obligate aerobic,NA,"acetate, citrate, ethanol, lactate, malate, 2_3_butanediol, 4_hydroxybenzoate",catalase
108980,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,ursingii,no,obligate aerobic,NA,"acetate, aspartate, citrate, ethanol, lactate, malate, 4_hydroxybenzoate",catalase
52133,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,venetianus,no,obligate aerobic,NA,"acetate, alanine, histidine, valerate, 3_hydroxybutyrate","catalase, gelatinase"
718,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,equuli,yes,facultative anaerobic,NA,"arabinose, cellobiose, dextrin, fructose, galactose, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, raffinose, sorbitol, starch, sucrose, xylose","gelatinase, phosphatase, hydrogen_sulfide_synthesis"
719,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,hominis,yes,facultative anaerobic,NA,"galactose, glucose, lactose, maltose, mannitol, melibiose, raffinose, sucrose, trehalose, xylose","oxidase, urease, acid_phosphatase, alkaline_phosphatase, alpha_galactosidase, phosphatase"
51047,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,minor,yes,NA,NA,"glucose, lactose, maltose, mannose, raffinose, sucrose",urease
715,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,pleuropneumoniae,NA,NA,NA,NA,NA
189834,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,porcitonsillarum,NA,NA,coccus,"galactose, glucose",urease
67854,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,succinogenes,yes,obligate aerobic,NA,"arabinose, arabitol, cellobiose, fructose, galactose, gluconate, glucose, lactose, maltose, mannitol, mannose, raffinose, ribose, salicin, sorbitol, sucrose, xylose, 5_ketogluconate","catalase, oxidase, acid_phosphatase, alkaline_phosphatase, beta_galactosidase"
716,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,suis,yes,facultative anaerobic,NA,"arabinose, cellobiose, dextrin, galactose, glycerol, lactose, maltose, mannose, melibiose, salicin, sucrose, trehalose",esculin_aesculin_hydrolysis
723,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,ureae,yes,facultative anaerobic,NA,"fructose, glucose, mannitol, sorbitol","catalase, oxidase, urease"
202789,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,massiliense,yes,facultative anaerobic,NA,"glucose, glycogen, maltose, ribose, xylose",NA
59505,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,schaalii,yes,facultative anaerobic,bacillus,"arabinose, glucose, maltose, ribose, xylose",NA
190146,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,urinale,NA,facultative anaerobic,NA,NA,NA
163603,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,latina,yes,obligate aerobic,NA,"adonitol, alanine, arabinose, arginine, cellobiose, fructose, galactose, glucose, glycine, glycogen, lactose, maltose, mannitol, mannose, melibiose, phenylalanine, rhamnose, ribose, salicin, sorbitol, trehalose, Tween_20, Tween_40, Tween_60, xylose, yeast_extract","gelatinase, esculin_aesculin_hydrolysis, elastin_degradation"
1993,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,madurae,yes,obligate aerobic,NA,"adonitol, arabinose, fructose, galactose, glucose, glycerol, glycine, histidine, lactose, leucine, maltose, mannitol, mannose, phenylalanine, rhamnose, Tween_20, Tween_40, Tween_60, xylitol, xylose","gelatinase, esculin_aesculin_hydrolysis, elastin_degradation, DNA_degradation"
111805,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,pelletieri,yes,obligate aerobic,NA,"arginine, cellobiose, gelatin, glucose, glycine, glycogen, histidine, lactose, maltose, phenylalanine, rhamnose, trehalose, yeast_extract","gelatinase, elastin_degradation"
1658,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,bovis,yes,facultative anaerobic,NA,"dextrin, fructose, galactose, glucose, glycogen, lactate, maltose, mannose, melibiose, ribose, starch, sucrose","esculin_aesculin_hydrolysis, DNA_degradation"
131109,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,bowdenii,yes,facultative anaerobic,NA,"glucose, lactose, maltose, melibiose, raffinose, ribose, sucrose, trehalose","catalase, alpha_galactosidase, beta_galactosidase, pyrazinamidase, esculin_aesculin_hydrolysis"
100469,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,canis,yes,facultative anaerobic,NA,"arabinose, glucose, glycogen, lactose, maltose, raffinose, ribose, sucrose, xylose","catalase, alpha_galactosidase, beta_galactosidase, pyrazinamidase"
181487,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,cardiffensis,yes,facultative anaerobic,NA,"glucose, mannose, raffinose, ribose, sucrose",NA
119495,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,catuli,yes,facultative anaerobic,NA,"glucose, lactose, maltose, melibiose, raffinose, ribose, sucrose, trehalose, xylose","catalase, acid_phosphatase, alpha_galactosidase, beta_galactosidase, pyrazinamidase, esculin_aesculin_hydrolysis"
103618,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Gleimia,coleocanis,yes,obligate anaerobic,bacillus,"gelatin, glucose, glycogen, lactose, maltose","beta_galactosidase, pyrazinamidase"
272548,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,dentalis,yes,obligate aerobic,NA,"cellobiose, fructose, glucose, maltose, mannose, melibiose, raffinose, sucrose, trehalose","alpha_galactosidase, beta_galactosidase, esculin_aesculin_hydrolysis"
66228,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Gleimia,europaeus,yes,facultative anaerobic,NA,"fructose, galactose, glucose, maltose, ribose, sucrose, trehalose, sugars_generic","alpha_galactosidase, beta_galactosidase, esculin_aesculin_hydrolysis"
132933,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,funkei,yes,facultative anaerobic,NA,"glucose, lactose, ribose, sucrose, xylose","acid_phosphatase, alkaline_phosphatase, pyrazinamidase"
52768,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,georgiae,yes,facultative anaerobic,NA,"fructose, glucose, glycogen, lactose, maltose, rhamnose, ribose, starch, sucrose, trehalose, Tween_80, xylose","gelatinase, esculin_aesculin_hydrolysis"
52769,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,gerencseriae,yes,obligate anaerobic,NA,"dextrin, fructose, glucose, lactose, maltose, mannitol, mannose, raffinose, ribose, salicin, sucrose, Tween_80, xylose","beta_galactosidase, esculin_aesculin_hydrolysis"
55565,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,graevenitzii,yes,facultative anaerobic,NA,"fructose, galactose, glucose, glycerol, lactose, maltose, myo_inositol, N_acetylglucosamine, ribose, sucrose, 5_ketogluconate, sugars_generic","acid_phosphatase, beta_galactosidase"
595468,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Gleimia,hominis,yes,facultative anaerobic,NA,"adonitol, arabinose, arabitol, fructose, galactose, gluconate, glucose, glycerol, glycogen, maltose, mannose, raffinose, ribose, starch, sucrose, 5_ketogluconate","catalase, acid_phosphatase, alkaline_phosphatase, alpha_galactosidase, beta_galactosidase, pyrazinamidase"
178339,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,hongkongensis,yes,obligate anaerobic,NA,NA,alkaline_phosphatase
52770,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,hordeovulneris,yes,NA,NA,"cellobiose, glucose, lactose, maltose, mannose, melibiose, raffinose, trehalose, xylose",catalase
52771,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,howellii,yes,facultative anaerobic,NA,"glucose, maltose, myo_inositol, raffinose, sucrose",catalase
29316,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,hyovaginalis,yes,obligate anaerobic,NA,"adonitol, arabinose, fructose, galactose, glucose, maltose, mannose, ribose, salicin, sucrose, xylose","alkaline_phosphatase, alpha_galactosidase, beta_galactosidase"
1659,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,israelii,yes,obligate anaerobic,NA,"arabinose, cellobiose, dextrin, glucose, lactose, maltose, mannitol, mannose, melibiose, raffinose, ribose, salicin, starch, sucrose, trehalose, Tween_80, xylose","acid_phosphatase, beta_galactosidase, esculin_aesculin_hydrolysis"
544581,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,johnsonii,yes,facultative anaerobic,NA,"cellobiose, fructose, glucose, glycogen, lactose, maltose, mannose, melibiose, raffinose, ribose, salicin, sorbitol, starch, sucrose, trehalose, Tween_20","urease, alkaline_phosphatase, alpha_galactosidase, beta_galactosidase, esculin_aesculin_hydrolysis"
156892,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,marimammalium,yes,NA,bacillus,"glucose, lactose",beta_galactosidase
461393,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,massiliensis,yes,obligate anaerobic,NA,"cellobiose, fructose, galactose, glucose, lactose, mannose, ribose, trehalose",beta_galactosidase
52773,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,meyeri,yes,obligate anaerobic,NA,"arabinose, dextrin, fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, ribose, starch, sucrose, Tween_80, xylose","urease, esculin_aesculin_hydrolysis, ammonia_synthesis"
1655,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,naeslundii,yes,facultative anaerobic,NA,"arabinose, cellobiose, fructose, glucose, glycogen, lactose, maltose, mannose, melibiose, raffinose, rhamnose, ribose, salicin, sorbitol, sucrose, trehalose, xylose","alpha_galactosidase, beta_galactosidase, esculin_aesculin_hydrolysis"
208480,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,nasicola,yes,facultative anaerobic,NA,"cellobiose, fructose, glucose",beta_galactosidase
33007,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Winkia,neuii,yes,facultative anaerobic,coccus,"arabitol, fructose, galactose, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, raffinose, ribose, sucrose, trehalose, xylitol, xylose, 5_ketogluconate","catalase, alpha_galactosidase, beta_galactosidase, pyrazinamidase"
1660,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,odontolyticus,yes,facultative anaerobic,NA,"adonitol, alanine, arabinose, fructose, galactose, galacturonate, glucose, glycerol, glycogen, lactose, maltose, ribose, salicin, sucrose, trehalose, Tween_80, xylose, yeast_extract, sugars_generic",DNA_degradation
206043,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,oricola,yes,facultative anaerobic,NA,"cellobiose, fructose, glucose, maltose, raffinose, salicin, trehalose","alkaline_phosphatase, alpha_galactosidase, beta_galactosidase, pyrazinamidase, esculin_aesculin_hydrolysis"
544580,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,oris,yes,facultative anaerobic,NA,"cellobiose, fructose, glucose, glycogen, lactose, maltose, mannose, melibiose, raffinose, rhamnose, ribose, salicin, sorbitol, starch, sucrose, trehalose","catalase, alpha_galactosidase, beta_galactosidase, esculin_aesculin_hydrolysis"
111015,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,radicidentis,yes,facultative anaerobic,NA,"glucose, lactose, maltose, mannitol, melibiose, raffinose, ribose, sucrose, trehalose","catalase, urease, acid_phosphatase, alpha_galactosidase, beta_galactosidase, pyrazinamidase, gelatinase, esculin_aesculin_hydrolysis, acetoin"
131110,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,radingae,yes,facultative anaerobic,coccus,"gelatin, glucose, maltose, mannose, ribose, salicin, sucrose, xylose","alpha_galactosidase, beta_galactosidase, gelatinase, esculin_aesculin_hydrolysis"
1288391,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,timonensis,yes,facultative anaerobic,NA,"adonitol, arabitol, fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannitol, mannose, melibiose, N_acetylglucosamine, raffinose, ribose, salicin",NA
131111,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,turicensis,yes,facultative anaerobic,bacillus,"glucose, maltose, ribose, starch, sucrose, trehalose, xylose",NA
103621,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,urogenitalis,yes,facultative anaerobic,NA,"arabitol, glucose, lactose, maltose, melibiose, raffinose, sucrose, trehalose, xylose","alpha_galactosidase, beta_galactosidase, esculin_aesculin_hydrolysis"
1656,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,viscosus,yes,facultative anaerobic,NA,"fructose, galactose, glucose, lactose, maltose, mannose, melibiose, raffinose, salicin, sucrose, trehalose, 2_ketogluconate",catalase
196914,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,friuliensis,no,facultative anaerobic,NA,"arabinose, asparagine, citrate, fructose, glucose, glycerol, leucine, mannitol, raffinose, rhamnose, starch, sucrose, xylose, yeast_extract","urease, acid_phosphatase, alkaline_phosphatase, alpha_galactosidase, beta_galactosidase, gelatinase, trypsin, phosphohydrolase, acetoin"
1866,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,missouriensis,no,NA,NA,"acetate, arabinose, dextrin, fructose, galactose, glucose, lactate, lactose, maltose, mannitol, mannose, methyl_beta_D_glucoside, rhamnose, sucrose",gelatinase
40567,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,mirum,no,obligate aerobic,NA,"adonitol, arabinose, cellobiose, dextrin, fructose, galactose, glucose, glycogen, lactate, lactose, malate, maltose, mannitol, mannose, melibiose, pyruvate, raffinose, rhamnose, sucrose, trehalose, xylose, yeast_extract","catalase, gelatinase"
446660,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,equolifaciens,yes,obligate anaerobic,coccus,"arginine, yeast_extract",NA
310575,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,kashmirensis,NA,NA,coccus,NA,NA
302406,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,mimigardefordensis,no,NA,coccus,NA,NA
101385,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,sublithincola,yes,obligate aerobic,NA,yeast_extract,"catalase, oxidase, urease, alkaline_phosphatase, gelatinase"
1376,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,urinae,yes,facultative anaerobic,coccus,"arabitol, fructose, glucose, mannitol, ribose, sorbitol, sucrose, xylitol",NA
128944,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,urinaehominis,NA,facultative anaerobic,NA,"glucose, maltose, ribose, sucrose","acid_phosphatase, alkaline_phosphatase, pyrazinamidase, esculin_aesculin_hydrolysis"
1377,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,viridans,yes,facultative anaerobic,NA,"glucose, lactose, mannitol, sucrose",NA
105751,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,bestiarum,no,facultative anaerobic,coccus,"acetate, arabinose, cellobiose, citrate, gelatin, gluconate, glucose, glycerol, maltose, mannitol, mannose, rhamnose, salicin, sucrose, trehalose, urocanate","catalase, oxidase, gelatinase, esculin_aesculin_hydrolysis, acetoin, elastin_degradation, DNA_degradation, indole_synthesis, hydrogen_sulfide_synthesis"
